C-BEZIMST-0;C-ALTGRIMST-0;C-GLIMST-0;C-C11-0;C-IMST-0;F-DATA
BEZIMST-101;ALTGRIMST-1;GLIMST-1;C11-1;IMST-1;1
BEZIMST-101;ALTGRIMST-1;GLIMST-1;C11-1;IMST-3;80
BEZIMST-101;ALTGRIMST-1;GLIMST-1;C11-1;IMST-4;216
BEZIMST-101;ALTGRIMST-1;GLIMST-1;C11-2;IMST-1;2
BEZIMST-101;ALTGRIMST-1;GLIMST-1;C11-2;IMST-3;86
BEZIMST-101;ALTGRIMST-1;GLIMST-1;C11-2;IMST-4;196
BEZIMST-101;ALTGRIMST-1;GLIMST-2;C11-1;IMST-3;2
BEZIMST-101;ALTGRIMST-1;GLIMST-2;C11-1;IMST-4;6
BEZIMST-101;ALTGRIMST-1;GLIMST-2;C11-2;IMST-4;5
BEZIMST-101;ALTGRIMST-2;GLIMST-1;C11-1;IMST-1;73
BEZIMST-101;ALTGRIMST-2;GLIMST-1;C11-1;IMST-2;47
BEZIMST-101;ALTGRIMST-2;GLIMST-1;C11-1;IMST-3;95
BEZIMST-101;ALTGRIMST-2;GLIMST-1;C11-1;IMST-4;104
BEZIMST-101;ALTGRIMST-2;GLIMST-1;C11-2;IMST-1;58
BEZIMST-101;ALTGRIMST-2;GLIMST-1;C11-2;IMST-2;41
BEZIMST-101;ALTGRIMST-2;GLIMST-1;C11-2;IMST-3;101
BEZIMST-101;ALTGRIMST-2;GLIMST-1;C11-2;IMST-4;107
BEZIMST-101;ALTGRIMST-2;GLIMST-2;C11-1;IMST-1;1
BEZIMST-101;ALTGRIMST-2;GLIMST-2;C11-1;IMST-2;1
BEZIMST-101;ALTGRIMST-2;GLIMST-2;C11-1;IMST-3;14
BEZIMST-101;ALTGRIMST-2;GLIMST-2;C11-1;IMST-4;16
BEZIMST-101;ALTGRIMST-2;GLIMST-2;C11-2;IMST-1;3
BEZIMST-101;ALTGRIMST-2;GLIMST-2;C11-2;IMST-3;9
BEZIMST-101;ALTGRIMST-2;GLIMST-2;C11-2;IMST-4;12
BEZIMST-101;ALTGRIMST-3;GLIMST-1;C11-1;IMST-1;86
BEZIMST-101;ALTGRIMST-3;GLIMST-1;C11-1;IMST-2;88
BEZIMST-101;ALTGRIMST-3;GLIMST-1;C11-1;IMST-3;98
BEZIMST-101;ALTGRIMST-3;GLIMST-1;C11-1;IMST-4;64
BEZIMST-101;ALTGRIMST-3;GLIMST-1;C11-2;IMST-1;70
BEZIMST-101;ALTGRIMST-3;GLIMST-1;C11-2;IMST-2;86
BEZIMST-101;ALTGRIMST-3;GLIMST-1;C11-2;IMST-3;71
BEZIMST-101;ALTGRIMST-3;GLIMST-1;C11-2;IMST-4;57
BEZIMST-101;ALTGRIMST-3;GLIMST-2;C11-1;IMST-1;14
BEZIMST-101;ALTGRIMST-3;GLIMST-2;C11-1;IMST-2;4
BEZIMST-101;ALTGRIMST-3;GLIMST-2;C11-1;IMST-3;27
BEZIMST-101;ALTGRIMST-3;GLIMST-2;C11-1;IMST-4;19
BEZIMST-101;ALTGRIMST-3;GLIMST-2;C11-2;IMST-1;14
BEZIMST-101;ALTGRIMST-3;GLIMST-2;C11-2;IMST-2;4
BEZIMST-101;ALTGRIMST-3;GLIMST-2;C11-2;IMST-3;25
BEZIMST-101;ALTGRIMST-3;GLIMST-2;C11-2;IMST-4;12
BEZIMST-101;ALTGRIMST-4;GLIMST-1;C11-1;IMST-1;102
BEZIMST-101;ALTGRIMST-4;GLIMST-1;C11-1;IMST-2;81
BEZIMST-101;ALTGRIMST-4;GLIMST-1;C11-1;IMST-3;72
BEZIMST-101;ALTGRIMST-4;GLIMST-1;C11-1;IMST-4;32
BEZIMST-101;ALTGRIMST-4;GLIMST-1;C11-2;IMST-1;97
BEZIMST-101;ALTGRIMST-4;GLIMST-1;C11-2;IMST-2;110
BEZIMST-101;ALTGRIMST-4;GLIMST-1;C11-2;IMST-3;53
BEZIMST-101;ALTGRIMST-4;GLIMST-1;C11-2;IMST-4;25
BEZIMST-101;ALTGRIMST-4;GLIMST-2;C11-1;IMST-1;24
BEZIMST-101;ALTGRIMST-4;GLIMST-2;C11-1;IMST-2;14
BEZIMST-101;ALTGRIMST-4;GLIMST-2;C11-1;IMST-3;8
BEZIMST-101;ALTGRIMST-4;GLIMST-2;C11-1;IMST-4;13
BEZIMST-101;ALTGRIMST-4;GLIMST-2;C11-2;IMST-1;5
BEZIMST-101;ALTGRIMST-4;GLIMST-2;C11-2;IMST-2;13
BEZIMST-101;ALTGRIMST-4;GLIMST-2;C11-2;IMST-3;15
BEZIMST-101;ALTGRIMST-4;GLIMST-2;C11-2;IMST-4;7
BEZIMST-101;ALTGRIMST-5;GLIMST-1;C11-1;IMST-1;151
BEZIMST-101;ALTGRIMST-5;GLIMST-1;C11-1;IMST-2;92
BEZIMST-101;ALTGRIMST-5;GLIMST-1;C11-1;IMST-3;54
BEZIMST-101;ALTGRIMST-5;GLIMST-1;C11-1;IMST-4;42
BEZIMST-101;ALTGRIMST-5;GLIMST-1;C11-2;IMST-1;133
BEZIMST-101;ALTGRIMST-5;GLIMST-1;C11-2;IMST-2;103
BEZIMST-101;ALTGRIMST-5;GLIMST-1;C11-2;IMST-3;50
BEZIMST-101;ALTGRIMST-5;GLIMST-1;C11-2;IMST-4;29
BEZIMST-101;ALTGRIMST-5;GLIMST-2;C11-1;IMST-1;18
BEZIMST-101;ALTGRIMST-5;GLIMST-2;C11-1;IMST-2;9
BEZIMST-101;ALTGRIMST-5;GLIMST-2;C11-1;IMST-3;14
BEZIMST-101;ALTGRIMST-5;GLIMST-2;C11-1;IMST-4;16
BEZIMST-101;ALTGRIMST-5;GLIMST-2;C11-2;IMST-1;15
BEZIMST-101;ALTGRIMST-5;GLIMST-2;C11-2;IMST-2;9
BEZIMST-101;ALTGRIMST-5;GLIMST-2;C11-2;IMST-3;18
BEZIMST-101;ALTGRIMST-5;GLIMST-2;C11-2;IMST-4;6
BEZIMST-101;ALTGRIMST-6;GLIMST-1;C11-1;IMST-1;130
BEZIMST-101;ALTGRIMST-6;GLIMST-1;C11-1;IMST-2;98
BEZIMST-101;ALTGRIMST-6;GLIMST-1;C11-1;IMST-3;51
BEZIMST-101;ALTGRIMST-6;GLIMST-1;C11-1;IMST-4;53
BEZIMST-101;ALTGRIMST-6;GLIMST-1;C11-2;IMST-1;145
BEZIMST-101;ALTGRIMST-6;GLIMST-1;C11-2;IMST-2;107
