C-B00-0;C-BILIMST-0;C-ALTGRIMST-0;C-ESIMST-0;C-IMST-0;F-DATA
B00-1;BILIMST-1;ALT10IMST-4;ESIMST-1;IMST-1;611
B00-1;BILIMST-1;ALT10IMST-4;ESIMST-1;IMST-2;285
B00-1;BILIMST-1;ALT10IMST-4;ESIMST-1;IMST-3;396
B00-1;BILIMST-1;ALT10IMST-4;ESIMST-1;IMST-4;472
B00-1;BILIMST-1;ALT10IMST-4;ESIMST-2;IMST-1;471
B00-1;BILIMST-1;ALT10IMST-4;ESIMST-2;IMST-2;173
B00-1;BILIMST-1;ALT10IMST-4;ESIMST-2;IMST-3;303
B00-1;BILIMST-1;ALT10IMST-4;ESIMST-2;IMST-4;456
B00-1;BILIMST-1;ALT10IMST-5;ESIMST-1;IMST-1;1170
B00-1;BILIMST-1;ALT10IMST-5;ESIMST-1;IMST-2;597
B00-1;BILIMST-1;ALT10IMST-5;ESIMST-1;IMST-3;532
B00-1;BILIMST-1;ALT10IMST-5;ESIMST-1;IMST-4;531
B00-1;BILIMST-1;ALT10IMST-5;ESIMST-2;IMST-1;549
B00-1;BILIMST-1;ALT10IMST-5;ESIMST-2;IMST-2;199
B00-1;BILIMST-1;ALT10IMST-5;ESIMST-2;IMST-3;253
B00-1;BILIMST-1;ALT10IMST-5;ESIMST-2;IMST-4;425
B00-1;BILIMST-1;ALT10IMST-6;ESIMST-1;IMST-1;2010
B00-1;BILIMST-1;ALT10IMST-6;ESIMST-1;IMST-2;932
B00-1;BILIMST-1;ALT10IMST-6;ESIMST-1;IMST-3;575
B00-1;BILIMST-1;ALT10IMST-6;ESIMST-1;IMST-4;688
B00-1;BILIMST-1;ALT10IMST-6;ESIMST-2;IMST-1;835
B00-1;BILIMST-1;ALT10IMST-6;ESIMST-2;IMST-2;206
B00-1;BILIMST-1;ALT10IMST-6;ESIMST-2;IMST-3;188
B00-1;BILIMST-1;ALT10IMST-6;ESIMST-2;IMST-4;421
B00-1;BILIMST-1;ALT10IMST-7;ESIMST-1;IMST-1;2023
B00-1;BILIMST-1;ALT10IMST-7;ESIMST-1;IMST-2;787
B00-1;BILIMST-1;ALT10IMST-7;ESIMST-1;IMST-3;239
B00-1;BILIMST-1;ALT10IMST-7;ESIMST-1;IMST-4;385
B00-1;BILIMST-1;ALT10IMST-7;ESIMST-2;IMST-1;3781
B00-1;BILIMST-1;ALT10IMST-7;ESIMST-2;IMST-2;924
B00-1;BILIMST-1;ALT10IMST-7;ESIMST-2;IMST-3;275
B00-1;BILIMST-1;ALT10IMST-7;ESIMST-2;IMST-4;812
B00-1;BILIMST-2;ALT10IMST-4;ESIMST-1;IMST-1;4194
B00-1;BILIMST-2;ALT10IMST-4;ESIMST-1;IMST-2;2475
B00-1;BILIMST-2;ALT10IMST-4;ESIMST-1;IMST-3;2177
B00-1;BILIMST-2;ALT10IMST-4;ESIMST-1;IMST-4;1828
B00-1;BILIMST-2;ALT10IMST-4;ESIMST-2;IMST-1;868
B00-1;BILIMST-2;ALT10IMST-4;ESIMST-2;IMST-2;341
B00-1;BILIMST-2;ALT10IMST-4;ESIMST-2;IMST-3;505
B00-1;BILIMST-2;ALT10IMST-4;ESIMST-2;IMST-4;647
B00-1;BILIMST-2;ALT10IMST-5;ESIMST-1;IMST-1;6354
B00-1;BILIMST-2;ALT10IMST-5;ESIMST-1;IMST-2;3998
B00-1;BILIMST-2;ALT10IMST-5;ESIMST-1;IMST-3;2712
B00-1;BILIMST-2;ALT10IMST-5;ESIMST-1;IMST-4;2185
B00-1;BILIMST-2;ALT10IMST-5;ESIMST-2;IMST-1;979
B00-1;BILIMST-2;ALT10IMST-5;ESIMST-2;IMST-2;358
B00-1;BILIMST-2;ALT10IMST-5;ESIMST-2;IMST-3;510
B00-1;BILIMST-2;ALT10IMST-5;ESIMST-2;IMST-4;671
B00-1;BILIMST-2;ALT10IMST-6;ESIMST-1;IMST-1;10611
B00-1;BILIMST-2;ALT10IMST-6;ESIMST-1;IMST-2;5493
B00-1;BILIMST-2;ALT10IMST-6;ESIMST-1;IMST-3;2350
B00-1;BILIMST-2;ALT10IMST-6;ESIMST-1;IMST-4;2273
