;PolBez;Altersgr;GebLand;Geschl;GeimpftGenesen;Anz
275;BEZIMST-101;ALT10IMST-1;INLAND;m;1;1
276;BEZIMST-101;ALT10IMST-1;INLAND;m;2;80
277;BEZIMST-101;ALT10IMST-1;INLAND;m;0;216
278;BEZIMST-101;ALT10IMST-1;INLAND;f;1;2
279;BEZIMST-101;ALT10IMST-1;INLAND;f;2;86
280;BEZIMST-101;ALT10IMST-1;INLAND;f;0;196
281;BEZIMST-101;ALT10IMST-1;AUSLAND;m;2;2
282;BEZIMST-101;ALT10IMST-1;AUSLAND;m;0;6
283;BEZIMST-101;ALT10IMST-1;AUSLAND;f;0;5
284;BEZIMST-101;ALT10IMST-2;INLAND;m;1;159
285;BEZIMST-101;ALT10IMST-2;INLAND;m;3;135
286;BEZIMST-101;ALT10IMST-2;INLAND;m;2;193
287;BEZIMST-101;ALT10IMST-2;INLAND;m;0;168
288;BEZIMST-101;ALT10IMST-2;INLAND;f;1;128
289;BEZIMST-101;ALT10IMST-2;INLAND;f;3;127
290;BEZIMST-101;ALT10IMST-2;INLAND;f;2;172
291;BEZIMST-101;ALT10IMST-2;INLAND;f;0;164
292;BEZIMST-101;ALT10IMST-2;AUSLAND;m;1;15
293;BEZIMST-101;ALT10IMST-2;AUSLAND;m;3;5
294;BEZIMST-101;ALT10IMST-2;AUSLAND;m;2;41
295;BEZIMST-101;ALT10IMST-2;AUSLAND;m;0;35
296;BEZIMST-101;ALT10IMST-2;AUSLAND;f;1;17
297;BEZIMST-101;ALT10IMST-2;AUSLAND;f;3;4
298;BEZIMST-101;ALT10IMST-2;AUSLAND;f;2;34
299;BEZIMST-101;ALT10IMST-2;AUSLAND;f;0;24
300;BEZIMST-101;ALT10IMST-3;INLAND;m;1;253
301;BEZIMST-101;ALT10IMST-3;INLAND;m;3;173
302;BEZIMST-101;ALT10IMST-3;INLAND;m;2;126
303;BEZIMST-101;ALT10IMST-3;INLAND;m;0;74
304;BEZIMST-101;ALT10IMST-3;INLAND;f;1;230
305;BEZIMST-101;ALT10IMST-3;INLAND;f;3;213
306;BEZIMST-101;ALT10IMST-3;INLAND;f;2;103
307;BEZIMST-101;ALT10IMST-3;INLAND;f;0;54
308;BEZIMST-101;ALT10IMST-3;AUSLAND;m;1;42
309;BEZIMST-101;ALT10IMST-3;AUSLAND;m;3;23
310;BEZIMST-101;ALT10IMST-3;AUSLAND;m;2;22
311;BEZIMST-101;ALT10IMST-3;AUSLAND;m;0;29
312;BEZIMST-101;ALT10IMST-3;AUSLAND;f;1;20
313;BEZIMST-101;ALT10IMST-3;AUSLAND;f;3;22
314;BEZIMST-101;ALT10IMST-3;AUSLAND;f;2;33
315;BEZIMST-101;ALT10IMST-3;AUSLAND;f;0;13
316;BEZIMST-101;ALT10IMST-4;INLAND;m;1;298
317;BEZIMST-101;ALT10IMST-4;INLAND;m;3;212
318;BEZIMST-101;ALT10IMST-4;INLAND;m;2;118
319;BEZIMST-101;ALT10IMST-4;INLAND;m;0;96
320;BEZIMST-101;ALT10IMST-4;INLAND;f;1;257
321;BEZIMST-101;ALT10IMST-4;INLAND;f;3;232
322;BEZIMST-101;ALT10IMST-4;INLAND;f;2;101
323;BEZIMST-101;ALT10IMST-4;INLAND;f;0;57
324;BEZIMST-101;ALT10IMST-4;AUSLAND;m;1;56
325;BEZIMST-101;ALT10IMST-4;AUSLAND;m;3;23
326;BEZIMST-101;ALT10IMST-4;AUSLAND;m;2;19
327;BEZIMST-101;ALT10IMST-4;AUSLAND;m;0;55
328;BEZIMST-101;ALT10IMST-4;AUSLAND;f;1;90
329;BEZIMST-101;ALT10IMST-4;AUSLAND;f;3;37
330;BEZIMST-101;ALT10IMST-4;AUSLAND;f;2;43
331;BEZIMST-101;ALT10IMST-4;AUSLAND;f;0;55
332;BEZIMST-101;ALT10IMST-5;INLAND;m;1;335
333;BEZIMST-101;ALT10IMST-5;INLAND;m;3;215
334;BEZIMST-101;ALT10IMST-5;INLAND;m;2;86
335;BEZIMST-101;ALT10IMST-5;INLAND;m;0;79
336;BEZIMST-101;ALT10IMST-5;INLAND;f;1;301
337;BEZIMST-101;ALT10IMST-5;INLAND;f;3;264
338;BEZIMST-101;ALT10IMST-5;INLAND;f;2;88
339;BEZIMST-101;ALT10IMST-5;INLAND;f;0;75
340;BEZIMST-101;ALT10IMST-5;AUSLAND;m;1;108
341;BEZIMST-101;ALT10IMST-5;AUSLAND;m;3;34
342;BEZIMST-101;ALT10IMST-5;AUSLAND;m;2;55
343;BEZIMST-101;ALT10IMST-5;AUSLAND;m;0;68
344;BEZIMST-101;ALT10IMST-5;AUSLAND;f;1;128
345;BEZIMST-101;ALT10IMST-5;AUSLAND;f;3;75
346;BEZIMST-101;ALT10IMST-5;AUSLAND;f;2;65
347;BEZIMST-101;ALT10IMST-5;AUSLAND;f;0;76
348;BEZIMST-101;ALT10IMST-6;INLAND;m;1;442
349;BEZIMST-101;ALT10IMST-6;INLAND;m;3;208
350;BEZIMST-101;ALT10IMST-6;INLAND;m;2;61
351;BEZIMST-101;ALT10IMST-6;INLAND;m;0;59
352;BEZIMST-101;ALT10IMST-6;INLAND;f;1;407
353;BEZIMST-101;ALT10IMST-6;INLAND;f;3;251
354;BEZIMST-101;ALT10IMST-6;INLAND;f;2;75
355;BEZIMST-101;ALT10IMST-6;INLAND;f;0;67
356;BEZIMST-101;ALT10IMST-6;AUSLAND;m;1;79
357;BEZIMST-101;ALT10IMST-6;AUSLAND;m;3;35
358;BEZIMST-101;ALT10IMST-6;AUSLAND;m;2;34
359;BEZIMST-101;ALT10IMST-6;AUSLAND;m;0;52
360;BEZIMST-101;ALT10IMST-6;AUSLAND;f;1;147
361;BEZIMST-101;ALT10IMST-6;AUSLAND;f;3;63
362;BEZIMST-101;ALT10IMST-6;AUSLAND;f;2;45
363;BEZIMST-101;ALT10IMST-6;AUSLAND;f;0;44
364;BEZIMST-101;ALT10IMST-7;INLAND;m;1;535
365;BEZIMST-101;ALT10IMST-7;INLAND;m;3;211
366;BEZIMST-101;ALT10IMST-7;INLAND;m;2;50
367;BEZIMST-101;ALT10IMST-7;INLAND;m;0;75
368;BEZIMST-101;ALT10IMST-7;INLAND;f;1;606
369;BEZIMST-101;ALT10IMST-7;INLAND;f;3;249
370;BEZIMST-101;ALT10IMST-7;INLAND;f;2;46
371;BEZIMST-101;ALT10IMST-7;INLAND;f;0;71
372;BEZIMST-101;ALT10IMST-7;AUSLAND;m;1;77
373;BEZIMST-101;ALT10IMST-7;AUSLAND;m;3;21
374;BEZIMST-101;ALT10IMST-7;AUSLAND;m;2;22
375;BEZIMST-101;ALT10IMST-7;AUSLAND;m;0;33
376;BEZIMST-101;ALT10IMST-7;AUSLAND;f;1;108
377;BEZIMST-101;ALT10IMST-7;AUSLAND;f;3;32
378;BEZIMST-101;ALT10IMST-7;AUSLAND;f;2;28
379;BEZIMST-101;ALT10IMST-7;AUSLAND;f;0;41
380;BEZIMST-101;ALT10IMST-8;INLAND;m;1;460
381;BEZIMST-101;ALT10IMST-8;INLAND;m;3;137
382;BEZIMST-101;ALT10IMST-8;INLAND;m;2;12
383;BEZIMST-101;ALT10IMST-8;INLAND;m;0;59
384;BEZIMST-101;ALT10IMST-8;INLAND;f;1;513
385;BEZIMST-101;ALT10IMST-8;INLAND;f;3;132
386;BEZIMST-101;ALT10IMST-8;INLAND;f;2;20
387;BEZIMST-101;ALT10IMST-8;INLAND;f;0;68
388;BEZIMST-101;ALT10IMST-8;AUSLAND;m;1;48
389;BEZIMST-101;ALT10IMST-8;AUSLAND;m;3;11
390;BEZIMST-101;ALT10IMST-8;AUSLAND;m;2;1
391;BEZIMST-101;ALT10IMST-8;AUSLAND;m;0;22
392;BEZIMST-101;ALT10IMST-8;AUSLAND;f;1;73
393;BEZIMST-101;ALT10IMST-8;AUSLAND;f;3;11
394;BEZIMST-101;ALT10IMST-8;AUSLAND;f;2;9
395;BEZIMST-101;ALT10IMST-8;AUSLAND;f;0;33
396;BEZIMST-101;ALT10IMST-9;INLAND;m;1;312
397;BEZIMST-101;ALT10IMST-9;INLAND;m;3;64
398;BEZIMST-101;ALT10IMST-9;INLAND;m;2;2
399;BEZIMST-101;ALT10IMST-9;INLAND;m;0;19
400;BEZIMST-101;ALT10IMST-9;INLAND;f;1;401
401;BEZIMST-101;ALT10IMST-9;INLAND;f;3;72
402;BEZIMST-101;ALT10IMST-9;INLAND;f;2;12
403;BEZIMST-101;ALT10IMST-9;INLAND;f;0;37
404;BEZIMST-101;ALT10IMST-9;AUSLAND;m;1;38
405;BEZIMST-101;ALT10IMST-9;AUSLAND;m;3;4
406;BEZIMST-101;ALT10IMST-9;AUSLAND;m;0;5
407;BEZIMST-101;ALT10IMST-9;AUSLAND;f;1;60
408;BEZIMST-101;ALT10IMST-9;AUSLAND;f;3;4
409;BEZIMST-101;ALT10IMST-9;AUSLAND;f;2;3
410;BEZIMST-101;ALT10IMST-9;AUSLAND;f;0;17
411;BEZIMST-101;ALT10IMST-10;INLAND;m;1;112
412;BEZIMST-101;ALT10IMST-10;INLAND;m;3;31
413;BEZIMST-101;ALT10IMST-10;INLAND;m;2;3
414;BEZIMST-101;ALT10IMST-10;INLAND;m;0;12
415;BEZIMST-101;ALT10IMST-10;INLAND;f;1;212
416;BEZIMST-101;ALT10IMST-10;INLAND;f;3;39
417;BEZIMST-101;ALT10IMST-10;INLAND;f;2;2
418;BEZIMST-101;ALT10IMST-10;INLAND;f;0;27
419;BEZIMST-101;ALT10IMST-10;AUSLAND;m;1;13
420;BEZIMST-101;ALT10IMST-10;AUSLAND;m;3;1
421;BEZIMST-101;ALT10IMST-10;AUSLAND;m;0;2
422;BEZIMST-101;ALT10IMST-10;AUSLAND;f;1;20
423;BEZIMST-101;ALT10IMST-10;AUSLAND;f;3;6
424;BEZIMST-101;ALT10IMST-10;AUSLAND;f;0;3
703;BEZIMST-199;ALT10IMST-1;INLAND;m;1;6
704;BEZIMST-199;ALT10IMST-1;INLAND;m;3;3
705;BEZIMST-199;ALT10IMST-1;INLAND;m;2;277
706;BEZIMST-199;ALT10IMST-1;INLAND;m;0;628
707;BEZIMST-199;ALT10IMST-1;INLAND;f;1;6
708;BEZIMST-199;ALT10IMST-1;INLAND;f;3;1
709;BEZIMST-199;ALT10IMST-1;INLAND;f;2;229
710;BEZIMST-199;ALT10IMST-1;INLAND;f;0;634
711;BEZIMST-199;ALT10IMST-1;AUSLAND;m;0;3
712;BEZIMST-199;ALT10IMST-1;AUSLAND;f;2;3
713;BEZIMST-199;ALT10IMST-1;AUSLAND;f;0;3
714;BEZIMST-199;ALT10IMST-2;INLAND;m;1;509
715;BEZIMST-199;ALT10IMST-2;INLAND;m;3;425
716;BEZIMST-199;ALT10IMST-2;INLAND;m;2;706
717;BEZIMST-199;ALT10IMST-2;INLAND;m;0;488
718;BEZIMST-199;ALT10IMST-2;INLAND;f;1;444
719;BEZIMST-199;ALT10IMST-2;INLAND;f;3;363
720;BEZIMST-199;ALT10IMST-2;INLAND;f;2;619
721;BEZIMST-199;ALT10IMST-2;INLAND;f;0;465
722;BEZIMST-199;ALT10IMST-2;AUSLAND;m;1;12
723;BEZIMST-199;ALT10IMST-2;AUSLAND;m;3;9
724;BEZIMST-199;ALT10IMST-2;AUSLAND;m;2;39
725;BEZIMST-199;ALT10IMST-2;AUSLAND;m;0;45
726;BEZIMST-199;ALT10IMST-2;AUSLAND;f;1;12
727;BEZIMST-199;ALT10IMST-2;AUSLAND;f;3;11
728;BEZIMST-199;ALT10IMST-2;AUSLAND;f;2;25
729;BEZIMST-199;ALT10IMST-2;AUSLAND;f;0;38
730;BEZIMST-199;ALT10IMST-3;INLAND;m;1;694
731;BEZIMST-199;ALT10IMST-3;INLAND;m;3;541
732;BEZIMST-199;ALT10IMST-3;INLAND;m;2;373
733;BEZIMST-199;ALT10IMST-3;INLAND;m;0;225
734;BEZIMST-199;ALT10IMST-3;INLAND;f;1;644
735;BEZIMST-199;ALT10IMST-3;INLAND;f;3;668
736;BEZIMST-199;ALT10IMST-3;INLAND;f;2;333
737;BEZIMST-199;ALT10IMST-3;INLAND;f;0;150
738;BEZIMST-199;ALT10IMST-3;AUSLAND;m;1;48
739;BEZIMST-199;ALT10IMST-3;AUSLAND;m;3;21
740;BEZIMST-199;ALT10IMST-3;AUSLAND;m;2;24
741;BEZIMST-199;ALT10IMST-3;AUSLAND;m;0;38
742;BEZIMST-199;ALT10IMST-3;AUSLAND;f;1;45
743;BEZIMST-199;ALT10IMST-3;AUSLAND;f;3;23
744;BEZIMST-199;ALT10IMST-3;AUSLAND;f;2;30
745;BEZIMST-199;ALT10IMST-3;AUSLAND;f;0;49
746;BEZIMST-199;ALT10IMST-4;INLAND;m;1;832
747;BEZIMST-199;ALT10IMST-4;INLAND;m;3;509
