Bundesland;Bildung;Altersgr;ErwerbStatus;GeimpftGenesen;Anz
Burgenland;Pflichtschule;25 - 34;aktiv;IMPF;611
Burgenland;Pflichtschule;25 - 34;aktiv;IMPF + GEN;285
Burgenland;Pflichtschule;25 - 34;aktiv;GEN;396
Burgenland;Pflichtschule;25 - 34;aktiv;NICHTS;472
Burgenland;Pflichtschule;25 - 34;inaktiv;IMPF;471
Burgenland;Pflichtschule;25 - 34;inaktiv;IMPF + GEN;173
Burgenland;Pflichtschule;25 - 34;inaktiv;GEN;303
Burgenland;Pflichtschule;25 - 34;inaktiv;NICHTS;456
Burgenland;Pflichtschule;35 - 44;aktiv;IMPF;1170
Burgenland;Pflichtschule;35 - 44;aktiv;IMPF + GEN;597
Burgenland;Pflichtschule;35 - 44;aktiv;GEN;532
Burgenland;Pflichtschule;35 - 44;aktiv;NICHTS;531
Burgenland;Pflichtschule;35 - 44;inaktiv;IMPF;549
Burgenland;Pflichtschule;35 - 44;inaktiv;IMPF + GEN;199
Burgenland;Pflichtschule;35 - 44;inaktiv;GEN;253
Burgenland;Pflichtschule;35 - 44;inaktiv;NICHTS;425
Burgenland;Pflichtschule;45 - 54;aktiv;IMPF;2010
Burgenland;Pflichtschule;45 - 54;aktiv;IMPF + GEN;932
Burgenland;Pflichtschule;45 - 54;aktiv;GEN;575
Burgenland;Pflichtschule;45 - 54;aktiv;NICHTS;688
Burgenland;Pflichtschule;45 - 54;inaktiv;IMPF;835
Burgenland;Pflichtschule;45 - 54;inaktiv;IMPF + GEN;206
Burgenland;Pflichtschule;45 - 54;inaktiv;GEN;188
Burgenland;Pflichtschule;45 - 54;inaktiv;NICHTS;421
Burgenland;Pflichtschule;55 - 64;aktiv;IMPF;2023
Burgenland;Pflichtschule;55 - 64;aktiv;IMPF + GEN;787
Burgenland;Pflichtschule;55 - 64;aktiv;GEN;239
Burgenland;Pflichtschule;55 - 64;aktiv;NICHTS;385
Burgenland;Pflichtschule;55 - 64;inaktiv;IMPF;3781
Burgenland;Pflichtschule;55 - 64;inaktiv;IMPF + GEN;924
Burgenland;Pflichtschule;55 - 64;inaktiv;GEN;275
Burgenland;Pflichtschule;55 - 64;inaktiv;NICHTS;812
Burgenland;Lehrabschluss/BMS;25 - 34;aktiv;IMPF;4194
Burgenland;Lehrabschluss/BMS;25 - 34;aktiv;IMPF + GEN;2475
Burgenland;Lehrabschluss/BMS;25 - 34;aktiv;GEN;2177
