PolBez,Altersgr,GebLand,Geschl,GeimpftGenesen,Bundesland,Anz
101,2.0,0,0,1,1,1
101,2.0,0,0,2,1,80
101,2.0,0,0,0,1,216
101,2.0,0,1,1,1,2
101,2.0,0,1,2,1,86
101,2.0,0,1,0,1,196
101,2.0,1,0,2,1,2
101,2.0,1,0,0,1,6
101,2.0,1,1,0,1,5
101,9.5,0,0,1,1,159
101,9.5,0,0,3,1,135
101,9.5,0,0,2,1,193
101,9.5,0,0,0,1,168
101,9.5,0,1,1,1,128
101,9.5,0,1,3,1,127
101,9.5,0,1,2,1,172
101,9.5,0,1,0,1,164
101,9.5,1,0,1,1,15
101,9.5,1,0,3,1,5
101,9.5,1,0,2,1,41
101,9.5,1,0,0,1,35
101,9.5,1,1,1,1,17
101,9.5,1,1,3,1,4
101,9.5,1,1,2,1,34
101,9.5,1,1,0,1,24
101,19.5,0,0,1,1,253
101,19.5,0,0,3,1,173
101,19.5,0,0,2,1,126
101,19.5,0,0,0,1,74
101,19.5,0,1,1,1,230
101,19.5,0,1,3,1,213
101,19.5,0,1,2,1,103
101,19.5,0,1,0,1,54
101,19.5,1,0,1,1,42
101,19.5,1,0,3,1,23
101,19.5,1,0,2,1,22
101,19.5,1,0,0,1,29
101,19.5,1,1,1,1,20
101,19.5,1,1,3,1,22
101,19.5,1,1,2,1,33
101,19.5,1,1,0,1,13
101,29.5,0,0,1,1,298
101,29.5,0,0,3,1,212
101,29.5,0,0,2,1,118
101,29.5,0,0,0,1,96
101,29.5,0,1,1,1,257
101,29.5,0,1,3,1,232
101,29.5,0,1,2,1,101
101,29.5,0,1,0,1,57
101,29.5,1,0,1,1,56
101,29.5,1,0,3,1,23
101,29.5,1,0,2,1,19
101,29.5,1,0,0,1,55
101,29.5,1,1,1,1,90
101,29.5,1,1,3,1,37
101,29.5,1,1,2,1,43
101,29.5,1,1,0,1,55
101,39.5,0,0,1,1,335
101,39.5,0,0,3,1,215
101,39.5,0,0,2,1,86
101,39.5,0,0,0,1,79
101,39.5,0,1,1,1,301
101,39.5,0,1,3,1,264
101,39.5,0,1,2,1,88
101,39.5,0,1,0,1,75
101,39.5,1,0,1,1,108
101,39.5,1,0,3,1,34
101,39.5,1,0,2,1,55
101,39.5,1,0,0,1,68
101,39.5,1,1,1,1,128
101,39.5,1,1,3,1,75
101,39.5,1,1,2,1,65
101,39.5,1,1,0,1,76
101,49.5,0,0,1,1,442
101,49.5,0,0,3,1,208
101,49.5,0,0,2,1,61
101,49.5,0,0,0,1,59
101,49.5,0,1,1,1,407
101,49.5,0,1,3,1,251
101,49.5,0,1,2,1,75
101,49.5,0,1,0,1,67
101,49.5,1,0,1,1,79
101,49.5,1,0,3,1,35
101,49.5,1,0,2,1,34
101,49.5,1,0,0,1,52
101,49.5,1,1,1,1,147
101,49.5,1,1,3,1,63
101,49.5,1,1,2,1,45
101,49.5,1,1,0,1,44
101,59.5,0,0,1,1,535
101,59.5,0,0,3,1,211
101,59.5,0,0,2,1,50
101,59.5,0,0,0,1,75
101,59.5,0,1,1,1,606
101,59.5,0,1,3,1,249
101,59.5,0,1,2,1,46
101,59.5,0,1,0,1,71
101,59.5,1,0,1,1,77
101,59.5,1,0,3,1,21
101,59.5,1,0,2,1,22
101,59.5,1,0,0,1,33
101,59.5,1,1,1,1,108
101,59.5,1,1,3,1,32
101,59.5,1,1,2,1,28
101,59.5,1,1,0,1,41
101,69.5,0,0,1,1,460
101,69.5,0,0,3,1,137
101,69.5,0,0,2,1,12
101,69.5,0,0,0,1,59
101,69.5,0,1,1,1,513
101,69.5,0,1,3,1,132
101,69.5,0,1,2,1,20
101,69.5,0,1,0,1,68
101,69.5,1,0,1,1,48
101,69.5,1,0,3,1,11
101,69.5,1,0,2,1,1
101,69.5,1,0,0,1,22
101,69.5,1,1,1,1,73
101,69.5,1,1,3,1,11
101,69.5,1,1,2,1,9
101,69.5,1,1,0,1,33
101,79.5,0,0,1,1,312
101,79.5,0,0,3,1,64
101,79.5,0,0,2,1,2
101,79.5,0,0,0,1,19
101,79.5,0,1,1,1,401
101,79.5,0,1,3,1,72
101,79.5,0,1,2,1,12
101,79.5,0,1,0,1,37
101,79.5,1,0,1,1,38
101,79.5,1,0,3,1,4
101,79.5,1,0,0,1,5
101,79.5,1,1,1,1,60
101,79.5,1,1,3,1,4
101,79.5,1,1,2,1,3
101,79.5,1,1,0,1,17
101,85.0,0,0,1,1,112
101,85.0,0,0,3,1,31
101,85.0,0,0,2,1,3
101,85.0,0,0,0,1,12
101,85.0,0,1,1,1,212
101,85.0,0,1,3,1,39
101,85.0,0,1,2,1,2
101,85.0,0,1,0,1,27
101,85.0,1,0,1,1,13
101,85.0,1,0,3,1,1
101,85.0,1,0,0,1,2
101,85.0,1,1,1,1,20
101,85.0,1,1,3,1,6
101,85.0,1,1,0,1,3
199,2.0,0,0,1,1,6
199,2.0,0,0,3,1,3
199,2.0,0,0,2,1,277
199,2.0,0,0,0,1,628
199,2.0,0,1,1,1,6
199,2.0,0,1,3,1,1
199,2.0,0,1,2,1,229
199,2.0,0,1,0,1,634
