Bundesland,Bildung,Altersgr,ErwerbStatus,GeimpftGenesen,Anz
1,1,29.5,1,1,611
1,1,29.5,1,3,285
1,1,29.5,1,2,396
1,1,29.5,1,0,472
1,1,29.5,0,1,471
1,1,29.5,0,3,173
1,1,29.5,0,2,303
1,1,29.5,0,0,456
1,1,39.5,1,1,1170
1,1,39.5,1,3,597
1,1,39.5,1,2,532
1,1,39.5,1,0,531
1,1,39.5,0,1,549
1,1,39.5,0,3,199
1,1,39.5,0,2,253
1,1,39.5,0,0,425
1,1,49.5,1,1,2010
1,1,49.5,1,3,932
1,1,49.5,1,2,575
1,1,49.5,1,0,688
1,1,49.5,0,1,835
1,1,49.5,0,3,206
1,1,49.5,0,2,188
1,1,49.5,0,0,421
1,1,59.5,1,1,2023
1,1,59.5,1,3,787
1,1,59.5,1,2,239
1,1,59.5,1,0,385
1,1,59.5,0,1,3781
1,1,59.5,0,3,924
1,1,59.5,0,2,275
1,1,59.5,0,0,812
1,2,29.5,1,1,4194
1,2,29.5,1,3,2475
1,2,29.5,1,2,2177
1,2,29.5,1,0,1828
1,2,29.5,0,1,868
1,2,29.5,0,3,341
1,2,29.5,0,2,505
1,2,29.5,0,0,647
1,2,39.5,1,1,6354
1,2,39.5,1,3,3998
1,2,39.5,1,2,2712
1,2,39.5,1,0,2185
1,2,39.5,0,1,979
1,2,39.5,0,3,358
1,2,39.5,0,2,510
1,2,39.5,0,0,671
1,2,49.5,1,1,10611
1,2,49.5,1,3,5493
1,2,49.5,1,2,2350
1,2,49.5,1,0,2273
1,2,49.5,0,1,1681
1,2,49.5,0,3,448
1,2,49.5,0,2,373
1,2,49.5,0,0,728
1,2,59.5,1,1,9015
1,2,59.5,1,3,3759
1,2,59.5,1,2,1071
1,2,59.5,1,0,1453
1,2,59.5,0,1,8581
1,2,59.5,0,3,2165
1,2,59.5,0,2,625
1,2,59.5,0,0,1655
1,3,29.5,1,1,2300
1,3,29.5,1,3,1845
1,3,29.5,1,2,939
1,3,29.5,1,0,596
1,3,29.5,0,1,505
1,3,29.5,0,3,277
1,3,29.5,0,2,231
1,3,29.5,0,0,235
1,3,39.5,1,1,2646
1,3,39.5,1,3,2160
1,3,39.5,1,2,1015
1,3,39.5,1,0,739
1,3,39.5,0,1,355
1,3,39.5,0,3,178
1,3,39.5,0,2,199
1,3,39.5,0,0,237
1,3,49.5,1,1,3459
1,3,49.5,1,3,2025
1,3,49.5,1,2,711
1,3,49.5,1,0,651
1,3,49.5,0,1,345
1,3,49.5,0,3,110
1,3,49.5,0,2,102
1,3,49.5,0,0,174
1,3,59.5,1,1,2541
1,3,59.5,1,3,1040
1,3,59.5,1,2,289
1,3,59.5,1,0,400
1,3,59.5,0,1,1292
1,3,59.5,0,3,346
1,3,59.5,0,2,111
1,3,59.5,0,0,342
1,4,29.5,1,1,2074
1,4,29.5,1,3,1872
1,4,29.5,1,2,567
1,4,29.5,1,0,358
1,4,29.5,0,1,387
1,4,29.5,0,3,226
1,4,29.5,0,2,170
1,4,29.5,0,0,139
1,4,39.5,1,1,2558
1,4,39.5,1,3,2336
1,4,39.5,1,2,759
1,4,39.5,1,0,507
1,4,39.5,0,1,353
1,4,39.5,0,3,175
1,4,39.5,0,2,164
1,4,39.5,0,0,206
1,4,49.5,1,1,2778
1,4,49.5,1,3,1922
1,4,49.5,1,2,498
1,4,49.5,1,0,435
1,4,49.5,0,1,203
1,4,49.5,0,3,60
1,4,49.5,0,2,57
1,4,49.5,0,0,98
1,4,59.5,1,1,2335
1,4,59.5,1,3,1120
1,4,59.5,1,2,216
1,4,59.5,1,0,290
1,4,59.5,0,1,619
1,4,59.5,0,3,143
1,4,59.5,0,2,52
1,4,59.5,0,0,162
1,0,29.5,1,3,3
1,0,29.5,1,0,1
1,0,29.5,0,1,8
1,0,29.5,0,2,1
1,0,29.5,0,0,4
1,0,39.5,1,1,3
1,0,39.5,1,2,2
1,0,39.5,1,0,2
1,0,39.5,0,1,2
1,0,39.5,0,3,1
1,0,39.5,0,2,2
1,0,39.5,0,0,6
1,0,49.5,1,1,1
1,0,49.5,1,3,1
1,0,49.5,1,2,3
1,0,49.5,1,0,1
1,0,49.5,0,1,2
1,0,49.5,0,2,1
1,0,49.5,0,0,4
1,0,59.5,1,0,1
1,0,59.5,0,1,1
1,0,59.5,0,0,1
2,1,29.5,1,1,1835
2,1,29.5,1,3,534
2,1,29.5,1,2,1254
2,1,29.5,1,0,1620
2,1,29.5,0,1,1127
2,1,29.5,0,3,271
2,1,29.5,0,2,636
2,1,29.5,0,0,1364
2,1,39.5,1,1,2239
2,1,39.5,1,3,728
2,1,39.5,1,2,1281
2,1,39.5,1,0,1484
2,1,39.5,0,1,1112
2,1,39.5,0,3,248
2,1,39.5,0,2,518
2,1,39.5,0,0,1058
2,1,49.5,1,1,2963
2,1,49.5,1,3,786
2,1,49.5,1,2,928
2,1,49.5,1,0,1404
2,1,49.5,0,1,1640
2,1,49.5,0,3,265
2,1,49.5,0,2,380
2,1,49.5,0,0,942
2,1,59.5,1,1,2587
2,1,59.5,1,3,590
2,1,59.5,1,2,520
2,1,59.5,1,0,921
2,1,59.5,0,1,4498
2,1,59.5,0,3,632
2,1,59.5,0,2,631
2,1,59.5,0,0,1870
2,2,29.5,1,1,6997
2,2,29.5,1,3,2908
2,2,29.5,1,2,6148
2,2,29.5,1,0,5612
2,2,29.5,0,1,1604
2,2,29.5,0,3,437
2,2,29.5,0,2,1520
2,2,29.5,0,0,1860
2,2,39.5,1,1,9946
2,2,39.5,1,3,4335
2,2,39.5,1,2,6474
2,2,39.5,1,0,6086
2,2,39.5,0,1,1822
2,2,39.5,0,3,438
2,2,39.5,0,2,1161
2,2,39.5,0,0,1660
2,2,49.5,1,1,17969
2,2,49.5,1,3,6235
2,2,49.5,1,2,5773
2,2,49.5,1,0,6747
2,2,49.5,0,1,3593
2,2,49.5,0,3,661
2,2,49.5,0,2,988
2,2,49.5,0,0,2024
2,2,59.5,1,1,16305
2,2,59.5,1,3,4705
2,2,59.5,1,2,3183
2,2,59.5,1,0,4590
2,2,59.5,0,1,16880
2,2,59.5,0,3,2846
2,2,59.5,0,2,2228
2,2,59.5,0,0,5005
2,3,29.5,1,1,4023
2,3,29.5,1,3,2136
2,3,29.5,1,2,2370
2,3,29.5,1,0,2119
2,3,29.5,0,1,943
2,3,29.5,0,3,350
2,3,29.5,0,2,624
2,3,29.5,0,0,725
2,3,39.5,1,1,4360
2,3,39.5,1,3,2284
2,3,39.5,1,2,2336
2,3,39.5,1,0,2038
2,3,39.5,0,1,565
